data,PIB,Cambio_Dolar,IGPM,Inflacao_Mensal,Selic
2002-01-01,0.0009870009870009827,0.16669254486169954,0.3216292134831461,0.3243243243243243,19.0
2002-02-01,0.0,0.190981079342546,0.27949438202247195,0.28108108108108104,19.0
2002-03-01,0.007660719702604499,0.17844863917662973,0.28370786516853935,0.3459459459459459,18.75
2002-04-01,0.00979502550183177,0.1701084666060378,0.34971910112359555,0.39999999999999997,18.5
2002-05-01,0.013276631077678194,0.18230818712153135,0.3876404494382023,0.24054054054054053,18.5
2002-06-01,0.013135788004897939,0.21875207949781522,0.4873595505617978,0.29729729729729726,18.5
2002-07-01,0.01690941481517398,0.28933300800745293,0.5449438202247192,0.5054054054054054,18.5
2002-08-01,0.017946771873473447,0.39314153893928977,0.5969101123595506,0.35945945945945945,18.0
2002-09-01,0.015019632820679932,0.3268416032650889,0.6081460674157304,0.3783783783783783,18.0
2002-10-01,0.023801819613337924,0.48612559057737953,0.8146067415730338,0.5378378378378378,18.0
2002-11-01,0.026925655197906503,0.45609209679923696,1.0,0.9999999999999999,21.0
2002-12-01,0.020630706494580833,0.45713461837056096,0.7977528089887641,0.7513513513513513,22.0
2003-01-01,0.015649963293942346,0.43637291218419366,0.5983146067415731,0.7918918918918918,25.0
2003-02-01,0.02188608994891715,0.42985160703591146,0.5912921348314607,0.608108108108108,25.5
2003-03-01,0.031522460841832564,0.4455337932258279,0.4859550561797753,0.5162162162162162,26.5
2003-04-01,0.032463283772184284,0.3950047689816561,0.4002808988764045,0.44594594594594583,26.5
2003-05-01,0.03142427749757594,0.301843266863341,0.23455056179775283,0.34864864864864864,26.5
2003-06-01,0.02907997148834844,0.3156178603908348,0.1306179775280899,0.14324324324324322,26.5
2003-07-01,0.03644647100144481,0.28596144888317104,0.21207865168539328,0.23783783783783782,26.0
2003-08-01,0.03616192621428223,0.3206308364572012,0.32443820224719105,0.27567567567567564,24.5
2003-09-01,0.04274713698797468,0.3169487389925249,0.4367977528089888,0.39459459459459456,22.0
2003-10-01,0.05153811960094683,0.29907060310981964,0.32443820224719105,0.26216216216216215,20.0
2003-11-01,0.04758505805626222,0.2885344808464388,0.3398876404494382,0.27567567567567564,19.0
2003-12-01,0.041544308560015356,0.30588026528846796,0.3567415730337079,0.3243243243243243,17.5
2004-01-01,0.03406335343508117,0.2952554177849744,0.39466292134831465,0.38918918918918916,16.5
2004-02-01,0.0331751954788604,0.3090965552425526,0.36797752808988765,0.34864864864864864,16.5
2004-03-01,0.05409110644712738,0.29709646651731253,0.4297752808988764,0.31081081081081074,16.5
2004-04-01,0.052372733001005214,0.2961870328061576,0.4410112359550562,0.28378378378378377,16.25
2004-05-01,0.0534749592341215,0.31093760397489073,0.45505617977528096,0.32162162162162156,16.0
2004-06-01,0.05617538601831794,0.3552558614111749,0.4648876404494382,0.3756756756756756,16.0
2004-07-01,0.0623821566229943,0.3370671871880753,0.45505617977528096,0.42972972972972967,16.0
2004-08-01,0.062221852797769,0.3308342390701596,0.4424157303370787,0.3702702702702702,16.0
2004-09-01,0.06320995326230926,0.30492646895725667,0.36797752808988765,0.27297297297297296,16.0
2004-10-01,0.06917066079369742,0.28751414058514296,0.3258426966292135,0.30270270270270266,16.25
2004-11-01,0.07315802603760717,0.28922210145731203,0.3862359550561798,0.3702702702702702,16.75
2004-12-01,0.06820938758111532,0.2571701084666061,0.375,0.4162162162162162,17.25
2005-01-01,0.05515869913775674,0.2469001619235633,0.3258426966292135,0.3405405405405405,17.75
2005-02-01,0.05331377582686482,0.23465607878801326,0.31320224719101125,0.3432432432432432,18.25
2005-03-01,0.07324807324807324,0.23201650289466097,0.3904494382022472,0.34864864864864864,18.75
2005-04-01,0.07304796833592643,0.24397222899984466,0.3918539325842697,0.41891891891891886,19.25
2005-05-01,0.07327929841018845,0.21282966972029377,0.24016853932584273,0.3162162162162162,19.5
