data,PIB,Cambio_Dolar,IGPM,Inflacao_Mensal,Selic
2002-01-01,-1.3932467227950853,-0.6753566732939988,-0.2870192800180312,0.05868259904812825,19.0
2002-02-01,-1.396898965507182,-0.5892490628550439,-0.6104432917966509,-0.3468609962516117,19.0
2002-03-01,-1.3685516709535404,-0.6336790170998016,-0.578100890618789,0.2614543966979981,18.75
2002-04-01,-1.3606540063075316,-0.663246561871534,-0.07140327216561795,0.7683838908226731,18.5
2002-05-01,-1.34777086965595,-0.6199961639341596,0.21967833843513973,-0.7270581168451178,18.5
2002-06-01,-1.3482920374084504,-0.49079542973214757,0.9851151663112067,-0.19478214801420926,18.5
2002-07-01,-1.3343283218726838,-0.2405722183926458,1.4271279824086536,1.756896404365789,18.5
2002-08-01,-1.330489744398179,0.12744934951083253,1.8260175969356178,0.3881867702291669,18.0
2002-09-01,-1.341321164440971,-0.1075969040070088,1.9122640000765831,0.565612093172803,18.0
2002-10-01,-1.3088240564013782,0.4570960188807858,3.4970416577918204,2.061054100840594,18.0
2002-11-01,-1.297264791620707,0.3506214028676853,4.920107309617747,6.395301275606564,21.0
2002-12-01,-1.3205582642995946,0.354317345964152,3.3676720530803723,4.06342560263306,22.0
2003-01-01,-1.3389887251551909,0.28071303238345635,1.8367983973282387,4.443622723226566,25.0
2003-02-01,-1.3159129142620856,0.2575937287587504,1.782894395365135,2.7200624432026714,25.5
2003-03-01,-1.28025503161736,0.3131901493800665,0.9743343659185859,1.858282303190724,26.5
2003-04-01,-1.2767736635782143,0.134054864832177,0.31670554196872575,1.1992739608286467,26.5
2003-05-01,-1.2806183437196104,-0.19622090123504712,-0.9554289043605121,0.2868008714042319,26.5
2003-06-01,-1.2892930812830863,-0.14738727010939323,-1.7532081334144407,-1.6395312062695326,26.5
2003-07-01,-1.262034502502818,-0.25252505564079303,-1.1279217106424426,-0.7524045915513515,26.0
2003-08-01,-1.263087415963763,-0.12961528841149042,-0.26545767923278984,-0.39755394566407914,24.5
2003-09-01,-1.2387198739120409,-0.14266904487986162,0.5970063521768628,0.7176909414102056,22.0
2003-10-01,-1.2061902183156954,-0.20605053712990512,-0.26545767923278984,-0.5242863191952479,20.0
2003-11-01,-1.2208179040092144,-0.2434031535303649,-0.14686887491396264,-0.39755394566407914,19.0
2003-12-01,-1.2431707522979534,-0.18190895137213425,-0.017499270202514728,0.05868259904812825,17.5
2004-01-01,-1.2708528561604644,-0.21957611612122946,0.2735823403982431,0.6669979919977381,16.5
